URL,PDF_NM,UUID
https://elifesciences.org/articles/58815,elife-58815-v1.pdf,3b28b992-051a-4ca2-b9ff-fd719c6f0dd6
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0105394,file134.pdf,ecc97a25-b607-467e-b224-bd52b013f3c1
https://onlinelibrary.wiley.com/doi/full/10.1111/j.1365-313X.2006.02826.x,The Plant Journal - 2006 - Ishizaki - The mitochondrial electron transfer flavoprotein complex is essential for survival of.pdf,e5b5adbb-b0d5-418e-970a-32a5b94e0dac
https://pdf.sciencedirectassets.com/280959/1-s2.0-S2211124720X00040/1-s2.0-S2211124720316429/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjECwaCXVzLWVhc3QtMSJHMEUCIQDnimNAmImN65hk4aWqw%2F4eSYBr%2FalPbx39n76N1MQ%2BGgIgGqQqH%2FcqTVLBt8V0Lbu9cfrtF2NUKfPx2AU%2FWZbyJ0gqsgUIZRAFGgwwNTkwMDM1NDY4NjUiDKnqDpl623cBaTCtaCqPBaaWCwxZMAIpZ7ezHWOBzc6OryjV1rNrLJcnG35uyaH9eEjZStV%2FGy3PHxfrmFGCnAjVfDJ0TEdicjoHMesb%2FZURRlO0kI7exce1o85ks3dmbAKqmv6IQjmK%2FrObEG%2FFphOVMY4O6TJcC10bsqQlsDUsIVPEzfJuESfrZxb6sYB%2Fi4HRSq1iaBsk4a8pIkcay3fcTcbEBz7ulfQlpH7qxRnyJX1IvR1omdVgrfvr%2Bz9im9J1ln50rJsA8t%2B%2F%2BD5Ju8tVq0fRAuhgtux1P0hbA5gEZKmPyAVW%2Fo9Yhx14qgRYfW%2BwQ3CfKR46gurPRO1LlUPZL%2FaK51ggOn6bogRmstjqdsToh%2BhSvqpKzi%2Flo07adJicNffDVwCvYwGGadoHtMKCjelVZWmWaj29uNKqYcUDPbBxDd84esYh%2BX97LzhUASzcK1zw%2B6AGd24SbIg%2BEPdfqofjJz8%2BSwlr3vJ01NUaDjenH2j%2BAHdJY9DX%2BeFyR93XlDU2R2RTHipqyAfheGmf5rw2cKvCWclJwySE36JVulnw4K9%2F9Ycs6Klz6GOzf4pNklTbHXZ9N1TPEcMsBxE%2FbX00uveLoi3%2B1q9uISfSa1RIEBZ8oruqirJIADeQLC2xtWO9SIt5xcAZYXjtDXovpHu99q7MUz%2FAyE3%2B%2FhgDMDoMj87Yu7VOpkiO1993e1yncazV2GfKpsUaTxli%2BbMWko4Q9pO5UvcvBacso0lRttDBc5pHa0bXxR4tRWgGrVbPNZh3RhtSZOO5pKbWDcP8TYQvd31pQVtrnKC%2FAlRmvR6icO4U34Gyn5xNh0yFULM6t8mSJTe6MsIJBHdOMcNXitPGI6s0lMABTT8Sih%2BK1gOpbNaCr6E%2FBed6bs8w4L2aqgY6sQFm4sXpYAOfg9Dyvi%2Bsc0TK1slxhim1TRRoIjHhnnDUE3Rmb3Tq5DupVdZ5nUe962hRaT4VzafPd9Ji7JwOIyOwSH0I8qU8YqzGmrILrckPY4J7v54NwbQY1%2BW40ND5URAmltHv%2FjD2aBX3bVZiYacBAXQw%2Bhk1e1g4OzDJ%2B0s9UHB0NxvRRTqUcikrZx1n74%2FBoSMuj380AOigYE%2BWycqs%2BimZSqgrcROvsb9LVYipR7c%3D&amp;X-Amz-Algorithm=AWS4-HMAC-SHA256&amp;X-Amz-Date=20231104T211250Z&amp;X-Amz-SignedHeaders=host&amp;X-Amz-Expires=300&amp;X-Amz-Credential=ASIAQ3PHCVTY2VPY4C2Y%2F20231104%2Fus-east-1%2Fs3%2Faws4_request&amp;X-Amz-Signature=f5b89d2e46c357cea2ee1001f9e4c6fff113896ae2bcbfe8877ea05f65061409&amp;hash=2fe25502cc7640c59ec962d1b0e7667992fb25f05b81e9d38b2501e93b8d8444&amp;host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&amp;pii=S2211124720316429&amp;tid=spdf-593694c5-b5b2-4d45-99c2-95fa4aa02ace&amp;sid=77426b3c69dac143ac0acea4318cb4f9b939gxrqa&amp;type=client&amp;tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&amp;ua=0f175653530107055a5e&amp;rr=820fdb81688982d5&amp;cc=us,bad_url,fa2762c7-f358-4b9f-86f7-4f4c055ee927
https://pubmed.ncbi.nlm.nih.gov/16923016/,The Plant Journal - 2006 - Ishizaki - The mitochondrial electron transfer flavoprotein complex is essential for survival of.pdf,7b10abd7-1cff-488b-aa15-296060096e0f
https://www.cell.com/cell/fulltext/S0092-8674(23)01125-X,PIIS009286742301125X.pdf,72fe8e80-5d27-49b1-a3c9-71d2b5658c61
https://www.embopress.org/doi/full/10.15252/embr.202152606,piazzesi-et-al-2022-cest-2-2-overexpression-alters-lipid-metabolism-and-extends-longevity-of-mitochondrial-mutants.pdf,ee5deaef-ab5a-4ca0-86f1-67cb44e7734e
https://www.jbc.org/article/S0021-9258(22)00621-4/pdf,PIIS0021925822006214.pdf,ebd537f2-a6fa-49fb-9851-e2ad4c2a743e
https://www.mdpi.com/2218-1989/11/9/636,metabolites-11-00636-v3.pdf,46934f2f-00d9-4a67-8e1f-40315b8cd514
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3681725/,pgen.1003563.pdf,bde4ef20-da8c-4c03-ad96-b0f98e4f3a7d
