URL,PDF_NM,UUID
http://journals.plos.org|journals.plos.org,bad_url,794af4c5-d5fa-4e97-b1f4-8f8ad7c8d626
http://sciencedirect.com|sciencedirect.com,bad_url,b6e486fd-46f0-4645-9994-f5f03d0651fa
http://www.pathology.washington.edu/research/labs/rea/asset/publications/25.pdf,25.pdf,ec10cc4b-3b33-4d82-82d4-f6e5580ddd0c
http://www.wormbook.org/chapters/www_nomarskianatomymosaic/nomarskianatomymosaic.pdf,nomarskianatomymosaic.pdf,0c1f66e5-41a1-46a2-a5d6-e873dbe349f8
https://37nyza-abbas-ghaddar.shinyapps.io/shiny_webpage/,non_paper,6b119f98-8870-4166-a80c-590724c1ff5c
https://academic.oup.com/g3journal/advance-article/doi/10.1093/g3journal/jkac184/6651068,jkac184.pdf,f0bcf1c3-832f-494c-b19d-e3d1122bf2e8
https://academic.oup.com/genetics/article/216/4/837/6065822?login=true,genetics0837.pdf,bd9c8f5d-b154-4163-a931-bc43d1d94ed1
https://academic.oup.com/genetics/article/221/4/iyac068/6619563?login=false,iyac068.pdf,0d784345-0ebb-4a41-9a6e-4a2c01b1c6ae
https://blog.wormbase.org/2021/09/14/new-link-for-all-chapters-of-wormbook-in-genetics/,non_paper,04a3ddd6-6dc8-4def-8942-b29ae06d5018
https://doi.org/10.1111/1462-2920.15730,Environmental Microbiology - 2021 - Pees - Microbes to‐go  slugs as source for Caenorhabditis elegans microbiota.pdf,11c01b6c-5387-4e18-b947-825e3d1f1680
https://elifesciences.org/articles/75906?utm_source=twitter&amp;utm_medium=social&amp;utm_campaign=organic,elife-75906-v1.pdf,3cdad566-6bc3-407d-b299-5a55f321e16d
https://elifesciences.org/articles/80010,elife-80010-v1.pdf,655113d3-b98b-482b-8357-47eea1022837
https://elifesciences.org/articles/80204,elife-80204-v2.pdf,31a23ccc-cb44-408d-b732-9daabd74bc27
https://elifesciences.org/articles/82178?utm_source=twitter&amp;utm_medium=social&amp;utm_campaign=organic,elife-82178-v3.pdf,7294f919-951b-4039-9c3e-f919f3ed574d
https://elifesciences.org/articles/83853,elife-83853-v2.pdf,bc21f3d5-38b6-470c-bc04-bae49111aa86
https://faseb.onlinelibrary.wiley.com/doi/pdf/10.1096/fj.201903235R,The FASEB Journal - 2020 - Machiela - Disruption of mitochondrial dynamics increases stress resistance through activation.pdf,971ccf99-85fc-4326-9dd4-52466e33e7a6
https://genesandnutrition.biomedcentral.com/articles/10.1186/s12263-019-0637-7,s12263-019-0637-7.pdf,27d9ee7a-2638-46ca-a13d-d09087131f33
https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1009432,journal.pgen.1009432.pdf,79855955-7333-480c-9638-f82ae5878efe
https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1010400,journal.pgen.1010400.pdf,edbc0d9b-d2b0-4883-ae75-44d04e20098e
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0214257#pone.0214257.s004,file333.pdf,a6997ba1-918e-4fc0-a307-26cb950ed4d9
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0214257#pone.0214257.s004|CemOrange2,file444.pdf,70a9c42d-007a-4a2a-a3df-12874a7745e8
https://link.springer.com/article/10.1007/s00018-014-1558-7,s00018-014-1558-7.pdf,4a12371d-0863-427c-8426-123c0a852a52
https://link.springer.com/article/10.1007/s11130-021-00939-y,s11130-021-00939-y.pdf,6ca26888-f8e9-4820-b980-a73d606c7da8
https://micropublication.org/journals/biology/micropub-biology-000730,micropub-biology-000730.pdf,66c693e4-b01e-4e1f-be9d-d9808b2f7cc3
https://nematodes.slack.com/archives/CDKJK58MU/p1630649390001400|Posted,non_paper,403aeb7d-bfe1-4862-8547-917360affc23
https://nematodes.slack.com/archives/CDKJK58MU/p1630649390001400|Sep,non_paper,ec07e77c-7f86-4640-b06d-0934481b9ef2
https://nematodes.slack.com/archives/CDKJK58MU/p1630649390001400|View,non_paper,07468ba7-9585-43c2-93ee-e7fb351d2502
https://onlinelibrary.wiley.com/doi/10.1111/acel.13693#.Yv15PL3wkZE.twitter,Aging Cell - 2022 - Arneaud - Reduced bone morphogenic protein signaling along the gut neuron axis by heat shock factor.pdf,ef360300-e6ef-43fb-8307-420ed8155e68
https://onlinelibrary.wiley.com/doi/full/10.1111/j.1474-9726.2010.00571.x,Aging Cell - 2010 - Yang - Two modes of mitochondrial dysfunction lead independently to lifespan extension in.pdf,e5030c28-42d1-4296-81ab-5cf89aa8f482
